Date,Value
2000-01-01,50.993428306022466
2000-01-02,49.90560495921598
2000-01-03,51.659593192428844
2000-01-04,53.59225638504859
2000-01-05,50.25971751857652
2000-01-06,50.441374073476105
2000-01-07,54.249442605489136
2000-01-08,52.80694990729935
2000-01-09,50.51383894926274
2000-01-10,52.71820829381475
2000-01-11,50.88609605618985
2000-01-12,51.060807591291926
2000-01-13,52.65496954181826
2000-01-14,48.52265464072606
2000-01-15,49.076891995033435
2000-01-16,51.578957892679924
2000-01-17,50.8539193346722
2000-01-18,53.683318993996636
2000-01-19,51.413164095520465
2000-01-20,50.57808921425306
2000-01-21,56.506526533784246
2000-01-22,53.295208620790646
2000-01-23,54.05230183828258
2000-01-24,51.237137690009156
2000-01-25,53.16611444300937
2000-01-26,54.6437812055429
2000-01-27,52.28576877065971
2000-01-28,55.50368945409546
2000-01-29,53.714225329190896
2000-01-30,54.493950901571324
2000-01-31,54.03434227714098
2000-02-01,59.101265807538915
2000-02-02,55.52716162417964
2000-02-03,53.5946298574712
2000-02-04,57.50944295588258
2000-02-05,53.57533026296913
2000-02-06,56.585729924547515
2000-02-07,52.39792662184808
2000-02-08,53.8083966033544
2000-02-09,57.00418995614692
2000-02-10,58.23125616889259
2000-02-11,57.23903217272975
2000-02-12,56.805049617646304
2000-02-13,56.57222879715087
2000-02-14,54.353483691501815
2000-02-15,56.00489485372706
2000-02-16,56.655288680898174
2000-02-17,59.82068483539695
2000-02-18,58.521406808776774
2000-02-19,54.433640566240086
2000-02-20,58.73122602357522
2000-02-21,57.43398370800674
2000-02-22,56.96911451009584
2000-02-23,59.66280914524951
2000-02-24,60.615609926738664
2000-02-25,60.527950828306004
2000-02-26,57.096330486578864
2000-02-27,58.26328151195565
2000-02-28,59.64871091915191
2000-02-29,61.03926116952
2000-03-01,58.22929110706745
2000-03-02,58.913245593968334
2000-03-03,57.16624710343037
2000-03-04,57.078261851272295
2000-03-05,61.18486510938388
2000-03-06,62.35878875366408
2000-03-07,59.586117884865686
2000-03-08,61.81834567763739
2000-03-09,60.612984927261614
2000-03-10,58.67517732658172
2000-03-11,60.76116349924608
2000-03-12,63.184633712350895
2000-03-13,60.10431179605152
2000-03-14,63.369852474579545
2000-03-15,55.06285805773957
2000-03-16,62.00510284747345
2000-03-17,60.591493513024886
2000-03-18,59.87262451758334
2000-03-19,60.70452610479521
